epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
56,15344,0.44516,0.27799,0.07,0.00933,1,0.96201,0.99432,0.97883,0.2563,0.14261,0.07602,0.00289,0.000911,0.000911,0.000911
57,15576.3,0.43352,0.27593,0.06535,0.00974,0.95062,0.99583,0.99141,0.97109,0.22861,0.14975,0.07734,0.00666,0.0008912,0.0008912,0.0008912
58,15928.1,0.45739,0.28458,0.0671,0.00957,0.96418,0.96552,0.99248,0.97818,0.1902,0.14575,0.08089,0.00343,0.0008714,0.0008714,0.0008714
59,16172.5,0.41646,0.27438,0.06776,0.0063,0.9314,0.94828,0.9801,0.96005,0.20508,0.24076,0.07606,0.00252,0.0008516,0.0008516,0.0008516
60,16620,0.41939,0.25814,0.06835,0.00917,0.96552,0.96551,0.99148,0.97069,0.22926,0.17705,0.07323,0.00255,0.0008318,0.0008318,0.0008318
61,17168.9,0.42103,0.26836,0.06684,0.00643,0.96547,0.96426,0.99266,0.96926,0.22565,0.1612,0.07343,0.00393,0.000812,0.000812,0.000812
62,17850.6,0.39014,0.23796,0.06332,0.00818,0.95073,0.9981,0.99112,0.97605,0.19331,0.15484,0.07547,0.0039,0.0007922,0.0007922,0.0007922
63,18215.1,0.40959,0.27068,0.07104,0.00623,0.966,0.97967,0.99245,0.97344,0.23924,0.14297,0.07368,0.00351,0.0007724,0.0007724,0.0007724
64,18653.2,0.40004,0.24798,0.07027,0.01011,0.97951,0.96552,0.99254,0.97871,0.20344,0.13171,0.07496,0.00712,0.0007526,0.0007526,0.0007526
65,19322.3,0.41156,0.26294,0.06992,0.00816,0.97788,0.94828,0.99102,0.97404,0.22673,0.1557,0.07798,0.00566,0.0007328,0.0007328,0.0007328
66,20092,0.43268,0.27156,0.07282,0.00821,0.9821,0.94617,0.98977,0.97639,0.21538,0.16677,0.0808,0.00514,0.000713,0.000713,0.000713
67,20509.5,0.44871,0.25666,0.07033,0.0096,0.9645,0.98276,0.99315,0.97622,0.2363,0.13835,0.08,0.00561,0.0006932,0.0006932,0.0006932
68,20986.6,0.41323,0.24044,0.06775,0.01002,0.96973,0.96552,0.9926,0.97748,0.20295,0.13455,0.07896,0.00586,0.0006734,0.0006734,0.0006734
69,21655.8,0.43205,0.24376,0.06803,0.01407,1,0.96395,0.99401,0.98099,0.21584,0.11714,0.07762,0.00435,0.0006536,0.0006536,0.0006536
70,22813.9,0.41245,0.24122,0.06527,0.00768,0.96799,0.98276,0.99311,0.98116,0.20471,0.14407,0.07618,0.00372,0.0006338,0.0006338,0.0006338
71,23103.3,0.39353,0.23622,0.07091,0.00994,0.97959,0.98276,0.9933,0.97604,0.20435,0.11995,0.07507,0.00798,0.000614,0.000614,0.000614
72,23641.7,0.40096,0.2368,0.07096,0.0098,0.96471,1,0.99311,0.97681,0.19788,0.11204,0.07309,0.00512,0.0005942,0.0005942,0.0005942
73,24272.2,0.37079,0.22016,0.06618,0.01,0.98209,0.94532,0.9865,0.96425,0.22196,0.22658,0.0719,0.01967,0.0005744,0.0005744,0.0005744
74,25253.1,0.39881,0.2274,0.06566,0.01437,0.95067,0.99679,0.9923,0.97507,0.22298,0.13223,0.06977,0.02984,0.0005546,0.0005546,0.0005546
75,25841.7,0.41634,0.25119,0.06828,0.00924,0.96251,0.98276,0.99076,0.97578,0.20637,0.15471,0.07373,0.01383,0.0005348,0.0005348,0.0005348
76,26491.7,0.40409,0.22318,0.06251,0.00928,0.98245,0.96492,0.98316,0.97237,0.19308,0.16138,0.07338,0.00381,0.000515,0.000515,0.000515
77,27664.3,0.3699,0.22202,0.06427,0.00547,1,0.9281,0.98762,0.98135,0.1815,0.17525,0.07187,0.00298,0.0004952,0.0004952,0.0004952
78,34927.9,0.38566,0.22387,0.0661,0.01146,0.96644,0.99322,0.99398,0.98262,0.19216,0.12767,0.07457,0.00258,0.0004754,0.0004754,0.0004754
79,37732,0.38837,0.22535,0.06494,0.00885,0.9502,0.9869,0.99315,0.98661,0.19931,0.13063,0.07205,0.00322,0.0004556,0.0004556,0.0004556
